video_id_X,date_trending,date_published,date_interval
RsIIT6rXnSM,2017-12-29,2017-12-26,3 days
lxSWRdgD4Ho,2017-12-29,2017-12-27,2 days
yJqsPBWbtjk,2017-12-29,2017-12-25,4 days
O3ttybJghsc,2017-12-29,2017-12-26,3 days
IjTBcqpl2kc,2017-12-29,2017-12-25,4 days
VHXPFrOfndg,2017-12-29,2017-12-26,3 days
aO7yzmc3ykw,2017-12-29,2017-12-26,3 days
leu-cTvMWTA,2017-12-29,2017-12-26,3 days
YsufMtUOXtI,2017-12-29,2017-12-26,3 days
TteS6q20VUY,2017-12-29,2017-12-26,3 days
WIWb8f1WIyQ,2017-12-29,2017-12-25,4 days
rQ7yPtJ5Y7I,2017-12-29,2017-12-26,3 days
oo9JMSiI55M,2017-12-29,2017-12-25,4 days
UUreMfN5eNA,2017-12-29,2017-10-30,60 days
ryr75N0nki0,2017-12-29,2017-12-24,5 days
0ycLaWymtKk,2017-12-29,2017-12-23,6 days
t9GNMVfEiG4,2017-12-29,2017-12-23,6 days
JFydHaV0klA,2017-12-29,2017-12-23,6 days
fFSmOE0Uxms,2017-12-29,2017-12-23,6 days
avnapsraeXM,2017-12-29,2017-12-23,6 days
e0hO5fTGwPY,2017-12-29,2011-05-22,2413 days
JnepCulEQOo,2017-12-29,2017-12-23,6 days
pMpQABKlC-I,2017-12-29,2017-12-23,6 days
3ToRIUoXmIw,2017-12-29,2017-12-23,6 days
DcCh33lJLMw,2017-12-29,2017-12-23,6 days
zeO4C8e4pjw,2017-12-29,2017-12-23,6 days
V_jU_ssWvc4,2017-12-29,2017-12-23,6 days
Ff7wbSwTuEk,2017-12-29,2017-12-23,6 days
tE5C3O71Xqo,2017-12-29,2017-12-23,6 days
kVVtBDaY8i4,2017-12-29,2017-12-23,6 days
q8fuvWLje8M,2017-12-29,2017-12-23,6 days
VqcHUdHQ1u8,2017-12-29,2017-12-23,6 days
sSszA_Ugd1A,2017-12-29,2017-12-16,13 days
H_4ESBLJXQc,2017-12-29,2017-12-23,6 days
cMD63TwzB1o,2017-12-29,2017-12-22,7 days
JRzZl_nq6fk,2017-12-29,2017-12-23,6 days
CMJblEavb7g,2017-12-29,2017-12-23,6 days
sXP6vliZIHI,2017-12-29,2017-12-22,7 days
VAUHZYf_aKY,2017-12-29,2017-12-22,7 days
v2OTO6UEVAo,2017-12-29,2017-12-22,7 days
B5gu6o6CIDA,2017-12-29,2017-12-23,6 days
H00djJq68VE,2017-12-29,2017-12-23,6 days
BIQK4-9YFW0,2017-12-29,2017-12-22,7 days
4zkWYYFvV6M,2017-12-29,2017-12-23,6 days
qOvMazijKMA,2017-12-29,2017-12-22,7 days
wqEknnPadMA,2017-12-29,2017-12-22,7 days
cQtYcpRGGIY,2017-12-29,2017-12-22,7 days
jTW5_KvkGoE,2017-12-29,2017-12-22,7 days
rTMgDNpXPto,2017-12-29,2017-12-22,7 days
HHOyg1oDeis,2017-12-29,2017-12-22,7 days
65MWN5yKU0A,2017-12-29,2017-12-22,7 days
drg74wOy8z8,2017-12-29,2017-12-22,7 days
LW43OnmPxIs,2017-12-29,2017-12-22,7 days
24HFgBQawWA,2017-12-29,2017-12-22,7 days
KNEVjhCXZB4,2017-12-29,2017-12-22,7 days
VllA1V5M38E,2017-12-29,2017-12-22,7 days
b2EOxGUuBWA,2017-12-29,2017-12-21,8 days
RbNaEwp7hMw,2017-12-29,2017-12-23,6 days
7keZTcdouoY,2017-12-29,2017-12-22,7 days
h8ycmroFQSs,2017-12-29,2017-12-23,6 days
07S_Glj3uYs,2017-12-29,2017-12-22,7 days
GEB2f5dpFXs,2017-12-29,2017-12-21,8 days
MSzytvDsPfo,2017-12-29,2017-12-21,8 days
Fr0wEsISRUw,2017-12-29,2017-12-22,7 days
1sqyuXCwcBA,2017-12-29,2017-12-22,7 days
F3eSaEHSCu0,2017-12-29,2017-12-23,6 days
uFDPLyAWpVg,2017-12-29,2017-12-21,8 days
aBQDFQwfX2w,2017-12-29,2017-12-23,6 days
ZsN1V9Hjfvg,2017-12-29,2017-12-22,7 days
ItL6vcUrpUs,2017-12-29,2017-12-21,8 days
SV2sPlDLQtU,2017-12-29,2014-06-21,1287 days
XcSMdhfKga4,2017-12-29,2017-12-21,8 days
mMzKvVtrC6U,2017-12-29,2017-12-21,8 days
zi_6oaQyckM,2017-12-29,2017-12-22,7 days
MUWUHf-rzks,2017-12-29,2017-12-21,8 days
pihJVwap7iI,2017-12-29,2017-12-22,7 days
XwDTzD75fT4,2017-12-29,2017-12-22,7 days
WhJIUtMK1tU,2017-12-29,2017-12-22,7 days
ZB7_1CoKntI,2017-12-29,2017-12-21,8 days
8eo-L_3OWAQ,2017-12-29,2017-12-20,9 days
nZM9Ko806Bg,2017-12-29,2017-12-21,8 days
WS7f5xpGYn8,2017-12-29,2017-12-20,9 days
zT4DJKkN_Do,2017-12-29,2017-12-22,7 days
5EF5Curjr8k,2017-12-29,2017-12-21,8 days
dwEKqAwoz0Y,2017-12-29,2017-12-21,8 days
cIQKKzZtWwQ,2017-12-29,2017-12-21,8 days
teA0Z7ltRSY,2017-12-29,2017-12-22,7 days
OWYKrIKMO1M,2017-12-29,2017-12-22,7 days
l_lblj8Cq0o,2017-12-29,2017-12-19,10 days
UK2OQ67Xr4o,2017-12-29,2017-12-23,6 days
WQd6x4KmVhA,2017-12-29,2017-12-22,7 days
t0Ro2Yqs6mA,2017-12-29,2017-12-21,8 days
aLLgene7kJo,2017-12-29,2017-12-22,7 days
-37nIo_tLnk,2017-12-29,2009-12-15,2936 days
bJje-B9YLIU,2017-12-29,2017-12-22,7 days
3mRjN1Focog,2017-12-29,2017-12-22,7 days
PLAFNvxDPMw,2017-12-29,2017-12-21,8 days
fEMxFSjmo5Q,2017-12-29,2017-12-20,9 days
lM0yu7c6lQk,2017-12-29,2017-12-22,7 days
dBTKW8NKAt4,2017-12-29,2017-12-22,7 days
9yWnVxe1qp8,2017-12-29,2017-12-22,7 days
K62oeVyaC-U,2017-12-29,2017-12-21,8 days
zLJsJR0O6VI,2017-12-29,2017-12-20,9 days
5czA_L_eOp4,2017-12-29,2017-12-21,8 days
6hb0GOOFQwI,2017-12-29,2017-12-22,7 days
RHUxyXZBXY8,2017-12-29,2017-12-20,9 days
WvV5TbJc9tQ,2017-12-29,2017-12-20,9 days
IU-Fo-QEpOI,2017-12-29,2017-12-20,9 days
YEGhKwpEKEw,2017-12-29,2017-12-21,8 days
AaALLWQmCdI,2017-12-29,2017-12-21,8 days
6-xB3ij-5xM,2017-12-29,2017-12-19,10 days
lWHZKP6xXHU,2017-12-29,2017-12-20,9 days
LotoBix4UDM,2017-12-29,2017-12-20,9 days
lcpxLXjYAa8,2017-12-29,2017-12-20,9 days
E60w-0q8Y0Y,2017-12-29,2017-12-20,9 days
szaJ5aW-LUs,2017-12-29,2017-12-20,9 days
OziQ_a3Rpqw,2017-12-29,2017-12-21,8 days
SFxZb-GHbrQ,2017-12-29,2017-12-20,9 days
ydPYNo8o-lI,2017-12-29,2017-12-20,9 days
ZpMNJbt3QDE,2017-12-29,2017-12-20,9 days
JbazoX5Su1w,2017-12-29,2017-12-20,9 days
KFm7fKqg13E,2017-12-29,2017-12-20,9 days
2PQCLZbzxq8,2017-12-29,2017-12-21,8 days
y0BlGqwLLGQ,2017-12-29,2017-12-20,9 days
ccgIXa7TIkc,2017-12-29,2017-12-20,9 days
i9-0BJ4CJvM,2017-12-29,2017-12-22,7 days
MnKbM9Zxtn8,2017-12-29,2017-12-20,9 days
2ktuvx9hrMw,2017-12-29,2017-12-19,10 days
Q3pUXLQ5G5U,2017-12-29,2017-12-22,7 days
alRtHXnZMOI,2017-12-29,2017-12-20,9 days
jjEmFB7zY4o,2017-12-29,2017-12-21,8 days
cntsqw7XOF0,2017-12-29,2017-12-20,9 days
3RlbqOl_4NA,2017-12-29,2017-12-19,10 days
RlSzahonkTk,2017-12-29,2017-12-20,9 days
_lUiJsnGXh8,2017-12-29,2017-12-19,10 days
bOzOMmHlQ3o,2017-12-29,2017-12-20,9 days
yh1NAMi2oLg,2017-12-29,2017-12-20,9 days
6CPUUjAlXrs,2017-12-29,2017-12-21,8 days
_mHSkHjInS4,2017-12-29,2017-12-19,10 days
aMQbRpxgFvs,2017-12-29,2017-12-20,9 days
iZpxzfMkVzM,2017-12-29,2017-12-20,9 days
GLZZn7lCtcI,2017-12-29,2017-12-20,9 days
a2bjPDkFR40,2017-12-29,2017-12-19,10 days
Pymm6cmE9uQ,2017-12-29,2017-12-19,10 days
PluaPvhkIMU,2017-12-29,2017-12-19,10 days
yirvgC-kMq0,2017-12-29,2017-12-21,8 days
fA8bw85NmlY,2017-12-29,2017-12-20,9 days
6dlhWPDoifU,2017-12-29,2017-12-21,8 days
Xc675sarBYc,2017-12-29,2017-12-20,9 days
eIj9vqnhQ6I,2017-12-29,2017-12-20,9 days
p_IwENcMPOA,2017-12-29,2017-12-18,11 days
kwvbLx9M6-s,2017-12-29,2017-12-19,10 days
Bzu4G8uZs-4,2017-12-29,2017-12-20,9 days
djJ6GAplhFU,2017-12-29,2017-12-20,9 days
nzO5ViO_y8Y,2017-12-29,2017-12-20,9 days
nHaBEgkMQVw,2017-12-29,2017-12-19,10 days
7kRDYwtE10Y,2017-12-29,2017-12-19,10 days
7VnEPIBsp20,2017-12-30,2017-12-29,1 days
S45Y5WQ4Ucs,2017-12-30,2017-12-29,1 days
VQhIUzPJi8o,2017-12-30,2017-12-29,1 days
K5BoE8eBzoI,2017-12-30,2017-12-28,2 days
q_MmN6-KLXg,2017-12-30,2017-12-29,1 days
IxF3mxWbdjw,2017-12-30,2017-12-29,1 days
XZo5o1Y0h9o,2017-12-30,2017-12-28,2 days
e2R0NSKtVA0,2017-12-30,2017-12-28,2 days
ooWd_9OAAUg,2017-12-30,2017-12-27,3 days
yMvpbrJ1CWQ,2017-12-30,2017-12-28,2 days
Q48VduIflPk,2017-12-30,2017-12-29,1 days
IoqDYnn7VKA,2017-12-30,2017-12-29,1 days
nranUeNkXpM,2017-12-30,2017-12-27,3 days
tMSu3Gyz1jU,2017-12-30,2017-12-28,2 days
SuFMMvrf4ao,2017-12-30,2017-12-27,3 days
EaEesT3HO4w,2017-12-30,2017-12-29,1 days
l2StCpw8z-s,2017-12-30,2017-12-28,2 days
tAn7wxn2Atk,2017-12-30,2017-12-27,3 days
OSBl32lNGBg,2017-12-30,2017-12-27,3 days
oX8-6whswEA,2017-12-30,2017-12-29,1 days
PVr1BbsOwmQ,2017-12-30,2017-12-27,3 days
iYGq_qc-hWY,2017-12-30,2017-12-27,3 days
fEhgT7G6ouQ,2017-12-30,2017-12-27,3 days
lYtllIKb70M,2017-12-30,2017-12-28,2 days
moc_dHHp4LQ,2017-12-30,2017-12-27,3 days
pEN_htHtt_c,2017-12-30,2017-12-27,3 days
U1RASlbIIVc,2017-12-30,2017-12-27,3 days
F8BdzL8OltM,2017-12-30,2017-12-26,4 days
xF99M6Zilac,2017-12-30,2017-12-26,4 days
IYyjBXDyYLo,2017-12-30,2017-12-27,3 days
FL9BbzUYXjA,2017-12-30,2017-12-27,3 days
zuRd_Eneuk8,2017-12-30,2017-12-26,4 days
OmLxYUOgTNs,2017-12-30,2017-12-27,3 days
mto2mNFbrps,2017-12-30,2017-12-26,4 days
inFGj1IyIwk,2017-12-30,2017-12-28,2 days
B1Kitc6cMXw,2017-12-30,2017-12-27,3 days
5n32F7mS6Kk,2017-12-30,2017-12-27,3 days
Hgc2njyY4Rs,2017-12-30,2017-12-27,3 days
9oyKePWRi8Y,2017-12-30,2017-12-26,4 days
2NpetP71B1o,2017-12-30,2017-12-27,3 days
lWyRTOABEq4,2017-12-30,2017-12-26,4 days
Q-v4LsbFc5c,2017-12-30,2017-12-26,4 days
_yThFcog0nA,2017-12-30,2017-12-27,3 days
4JGWxG-vE24,2017-12-30,2017-12-26,4 days
mnT4MDdEazs,2017-12-30,2017-12-26,4 days
doHVMJnuvDA,2017-12-30,2017-08-15,137 days
sJzWZ1yXpek,2017-12-30,2017-12-26,4 days
bWZ_Z5dgrb0,2017-12-30,2017-12-26,4 days
1WREZPc-kqQ,2017-12-30,2017-12-26,4 days
S1ke1xQ-rmY,2017-12-30,2017-12-05,25 days
S4vKQbpOn5k,2017-12-30,2017-12-27,3 days
5Q7mKQmNWSE,2017-12-30,2017-11-21,39 days
sd80ZipTMDE,2017-12-30,2017-12-26,4 days
maAa7J3iEM8,2017-12-30,2017-12-26,4 days
07Um1PY_P4o,2017-12-30,2017-12-26,4 days
lxSWRdgD4Ho,2017-12-30,2017-12-27,3 days
kce9FMxx-04,2017-12-30,2017-12-25,5 days
RsIIT6rXnSM,2017-12-30,2017-12-26,4 days
yJqsPBWbtjk,2017-12-30,2017-12-25,5 days
O3ttybJghsc,2017-12-30,2017-12-26,4 days
IjTBcqpl2kc,2017-12-30,2017-12-25,5 days
VHXPFrOfndg,2017-12-30,2017-12-26,4 days
aO7yzmc3ykw,2017-12-30,2017-12-26,4 days
YsufMtUOXtI,2017-12-30,2017-12-26,4 days
TteS6q20VUY,2017-12-30,2017-12-26,4 days
naOKPDCngMI,2017-12-30,2017-12-26,4 days
WIWb8f1WIyQ,2017-12-30,2017-12-25,5 days
rQ7yPtJ5Y7I,2017-12-30,2017-12-26,4 days
phGlo_TNDp0,2017-12-30,2010-09-25,2653 days
oo9JMSiI55M,2017-12-30,2017-12-25,5 days
UUreMfN5eNA,2017-12-30,2017-10-30,61 days
ryr75N0nki0,2017-12-30,2017-12-24,6 days
0ycLaWymtKk,2017-12-30,2017-12-23,7 days
SWUrl7FpkAo,2017-12-30,2017-12-24,6 days
t9GNMVfEiG4,2017-12-30,2017-12-23,7 days
JFydHaV0klA,2017-12-30,2017-12-23,7 days
fFSmOE0Uxms,2017-12-30,2017-12-23,7 days
e0hO5fTGwPY,2017-12-30,2011-05-22,2414 days
avnapsraeXM,2017-12-30,2017-12-23,7 days
zeO4C8e4pjw,2017-12-30,2017-12-23,7 days
pMpQABKlC-I,2017-12-30,2017-12-23,7 days
DcCh33lJLMw,2017-12-30,2017-12-23,7 days
JnepCulEQOo,2017-12-30,2017-12-23,7 days
3ToRIUoXmIw,2017-12-30,2017-12-23,7 days
AZTn1UMs408,2017-12-30,2017-12-25,5 days
V_jU_ssWvc4,2017-12-30,2017-12-23,7 days
Ff7wbSwTuEk,2017-12-30,2017-12-23,7 days
tE5C3O71Xqo,2017-12-30,2017-12-23,7 days
kVVtBDaY8i4,2017-12-30,2017-12-23,7 days
q8fuvWLje8M,2017-12-30,2017-12-23,7 days
VqcHUdHQ1u8,2017-12-30,2017-12-23,7 days
H_4ESBLJXQc,2017-12-30,2017-12-23,7 days
sSszA_Ugd1A,2017-12-30,2017-12-16,14 days
cMD63TwzB1o,2017-12-30,2017-12-22,8 days
JRzZl_nq6fk,2017-12-30,2017-12-23,7 days
sXP6vliZIHI,2017-12-30,2017-12-22,8 days
CMJblEavb7g,2017-12-30,2017-12-23,7 days
VAUHZYf_aKY,2017-12-30,2017-12-22,8 days
v2OTO6UEVAo,2017-12-30,2017-12-22,8 days
B5gu6o6CIDA,2017-12-30,2017-12-23,7 days
BIQK4-9YFW0,2017-12-30,2017-12-22,8 days
H00djJq68VE,2017-12-30,2017-12-23,7 days
4zkWYYFvV6M,2017-12-30,2017-12-23,7 days
qOvMazijKMA,2017-12-30,2017-12-22,8 days
wqEknnPadMA,2017-12-30,2017-12-22,8 days
cQtYcpRGGIY,2017-12-30,2017-12-22,8 days
jTW5_KvkGoE,2017-12-30,2017-12-22,8 days
rTMgDNpXPto,2017-12-30,2017-12-22,8 days
HHOyg1oDeis,2017-12-30,2017-12-22,8 days
65MWN5yKU0A,2017-12-30,2017-12-22,8 days
drg74wOy8z8,2017-12-30,2017-12-22,8 days
24HFgBQawWA,2017-12-30,2017-12-22,8 days
VllA1V5M38E,2017-12-30,2017-12-22,8 days
KNEVjhCXZB4,2017-12-30,2017-12-22,8 days
b2EOxGUuBWA,2017-12-30,2017-12-21,9 days
RbNaEwp7hMw,2017-12-30,2017-12-23,7 days
7keZTcdouoY,2017-12-30,2017-12-22,8 days
h8ycmroFQSs,2017-12-30,2017-12-23,7 days
07S_Glj3uYs,2017-12-30,2017-12-22,8 days
GEB2f5dpFXs,2017-12-30,2017-12-21,9 days
MSzytvDsPfo,2017-12-30,2017-12-21,9 days
Fr0wEsISRUw,2017-12-30,2017-12-22,8 days
aBQDFQwfX2w,2017-12-30,2017-12-23,7 days
F3eSaEHSCu0,2017-12-30,2017-12-23,7 days
uFDPLyAWpVg,2017-12-30,2017-12-21,9 days
ZsN1V9Hjfvg,2017-12-30,2017-12-22,8 days
ItL6vcUrpUs,2017-12-30,2017-12-21,9 days
SV2sPlDLQtU,2017-12-30,2014-06-21,1288 days
1sqyuXCwcBA,2017-12-30,2017-12-22,8 days
mMzKvVtrC6U,2017-12-30,2017-12-21,9 days
XcSMdhfKga4,2017-12-30,2017-12-21,9 days
zi_6oaQyckM,2017-12-30,2017-12-22,8 days
pihJVwap7iI,2017-12-30,2017-12-22,8 days
XwDTzD75fT4,2017-12-30,2017-12-22,8 days
MUWUHf-rzks,2017-12-30,2017-12-21,9 days
WhJIUtMK1tU,2017-12-30,2017-12-22,8 days
ZB7_1CoKntI,2017-12-30,2017-12-21,9 days
WS7f5xpGYn8,2017-12-30,2017-12-20,10 days
8eo-L_3OWAQ,2017-12-30,2017-12-20,10 days
nZM9Ko806Bg,2017-12-30,2017-12-21,9 days
zT4DJKkN_Do,2017-12-30,2017-12-22,8 days
5EF5Curjr8k,2017-12-30,2017-12-21,9 days
dwEKqAwoz0Y,2017-12-30,2017-12-21,9 days
cIQKKzZtWwQ,2017-12-30,2017-12-21,9 days
l_lblj8Cq0o,2017-12-30,2017-12-19,11 days
teA0Z7ltRSY,2017-12-30,2017-12-22,8 days
OWYKrIKMO1M,2017-12-30,2017-12-22,8 days
WQd6x4KmVhA,2017-12-30,2017-12-22,8 days
t0Ro2Yqs6mA,2017-12-30,2017-12-21,9 days
UK2OQ67Xr4o,2017-12-30,2017-12-23,7 days
aLLgene7kJo,2017-12-30,2017-12-22,8 days
-37nIo_tLnk,2017-12-30,2009-12-15,2937 days
3mRjN1Focog,2017-12-30,2017-12-22,8 days
bJje-B9YLIU,2017-12-30,2017-12-22,8 days
6-xB3ij-5xM,2017-12-30,2017-12-19,11 days
PLAFNvxDPMw,2017-12-30,2017-12-21,9 days
fEMxFSjmo5Q,2017-12-30,2017-12-20,10 days
lM0yu7c6lQk,2017-12-30,2017-12-22,8 days
dBTKW8NKAt4,2017-12-30,2017-12-22,8 days
WvV5TbJc9tQ,2017-12-30,2017-12-20,10 days
9yWnVxe1qp8,2017-12-30,2017-12-22,8 days
5czA_L_eOp4,2017-12-30,2017-12-21,9 days
K62oeVyaC-U,2017-12-30,2017-12-21,9 days
RHUxyXZBXY8,2017-12-30,2017-12-20,10 days
zLJsJR0O6VI,2017-12-30,2017-12-20,10 days
6hb0GOOFQwI,2017-12-30,2017-12-22,8 days
YEGhKwpEKEw,2017-12-30,2017-12-21,9 days
IU-Fo-QEpOI,2017-12-30,2017-12-20,10 days
AaALLWQmCdI,2017-12-30,2017-12-21,9 days
lWHZKP6xXHU,2017-12-30,2017-12-20,10 days
LotoBix4UDM,2017-12-30,2017-12-20,10 days
lcpxLXjYAa8,2017-12-30,2017-12-20,10 days
E60w-0q8Y0Y,2017-12-30,2017-12-20,10 days
szaJ5aW-LUs,2017-12-30,2017-12-20,10 days
OziQ_a3Rpqw,2017-12-30,2017-12-21,9 days
SFxZb-GHbrQ,2017-12-30,2017-12-20,10 days
ydPYNo8o-lI,2017-12-30,2017-12-20,10 days
ZpMNJbt3QDE,2017-12-30,2017-12-20,10 days
KFm7fKqg13E,2017-12-30,2017-12-20,10 days
2PQCLZbzxq8,2017-12-30,2017-12-21,9 days
y0BlGqwLLGQ,2017-12-30,2017-12-20,10 days
ccgIXa7TIkc,2017-12-30,2017-12-20,10 days
i9-0BJ4CJvM,2017-12-30,2017-12-22,8 days
MnKbM9Zxtn8,2017-12-30,2017-12-20,10 days
Q3pUXLQ5G5U,2017-12-30,2017-12-22,8 days
2ktuvx9hrMw,2017-12-30,2017-12-19,11 days
alRtHXnZMOI,2017-12-30,2017-12-20,10 days
jjEmFB7zY4o,2017-12-30,2017-12-21,9 days
cntsqw7XOF0,2017-12-30,2017-12-20,10 days
bOzOMmHlQ3o,2017-12-30,2017-12-20,10 days
RlSzahonkTk,2017-12-30,2017-12-20,10 days
3RlbqOl_4NA,2017-12-30,2017-12-19,11 days
_lUiJsnGXh8,2017-12-30,2017-12-19,11 days
yh1NAMi2oLg,2017-12-30,2017-12-20,10 days
6CPUUjAlXrs,2017-12-30,2017-12-21,9 days
_mHSkHjInS4,2017-12-30,2017-12-19,11 days
aMQbRpxgFvs,2017-12-30,2017-12-20,10 days
iZpxzfMkVzM,2017-12-30,2017-12-20,10 days
a2bjPDkFR40,2017-12-30,2017-12-19,11 days
PluaPvhkIMU,2017-12-30,2017-12-19,11 days
x4TZEVqKIvs,2017-12-31,2017-12-30,1 days
PjqKPHZJgF0,2017-12-31,2017-12-29,2 days
O6BODAJVYc8,2017-12-31,2017-12-30,1 days
S45Y5WQ4Ucs,2017-12-31,2017-12-29,2 days
7VnEPIBsp20,2017-12-31,2017-12-29,2 days
f6Egj7ncOi8,2017-12-31,2017-12-29,2 days
j6X6PhexHnE,2017-12-31,2017-12-30,1 days
VQhIUzPJi8o,2017-12-31,2017-12-29,2 days
UfR5dKcKJvY,2017-12-31,2017-12-29,2 days
HqwVFXyCfOI,2017-12-31,2017-12-30,1 days
IoqDYnn7VKA,2017-12-31,2017-12-29,2 days
mDRifR9HdK8,2017-12-31,2017-12-30,1 days
KB_GCuJwPE4,2017-12-31,2017-12-29,2 days
ejlD0Sg-8ig,2017-12-31,2017-12-29,2 days
oX8-6whswEA,2017-12-31,2017-12-29,2 days
q_MmN6-KLXg,2017-12-31,2017-12-29,2 days
KX0fOxBVMRc,2017-12-31,2017-12-30,1 days
IxF3mxWbdjw,2017-12-31,2017-12-29,2 days
8FqgrgVPvio,2017-12-31,2017-12-29,2 days
uYaN4OLxm08,2017-12-31,2017-12-29,2 days
K5BoE8eBzoI,2017-12-31,2017-12-28,3 days
8gE6cek7F30,2017-12-31,2017-12-29,2 days
GTSjDaoZcAk,2017-12-31,2017-12-30,1 days
1oFQ76ctfS0,2017-12-31,2017-12-29,2 days
mKpW_rj0tuI,2017-12-31,2017-12-29,2 days
e2R0NSKtVA0,2017-12-31,2017-12-28,3 days
EaEesT3HO4w,2017-12-31,2017-12-29,2 days
XZo5o1Y0h9o,2017-12-31,2017-12-28,3 days
pcmbmC9cUUY,2017-12-31,2017-12-30,1 days
yMvpbrJ1CWQ,2017-12-31,2017-12-28,3 days
Q48VduIflPk,2017-12-31,2017-12-29,2 days
ooWd_9OAAUg,2017-12-31,2017-12-27,4 days
tMSu3Gyz1jU,2017-12-31,2017-12-28,3 days
HMU5njzTAK0,2017-12-31,2017-12-30,1 days
lYtllIKb70M,2017-12-31,2017-12-28,3 days
nranUeNkXpM,2017-12-31,2017-12-27,4 days
pKFd5rAUM2s,2017-12-31,2017-12-28,3 days
SuFMMvrf4ao,2017-12-31,2017-12-27,4 days
tAn7wxn2Atk,2017-12-31,2017-12-27,4 days
OSBl32lNGBg,2017-12-31,2017-12-27,4 days
PVr1BbsOwmQ,2017-12-31,2017-12-27,4 days
fEhgT7G6ouQ,2017-12-31,2017-12-27,4 days
iYGq_qc-hWY,2017-12-31,2017-12-27,4 days
FL9BbzUYXjA,2017-12-31,2017-12-27,4 days
pEN_htHtt_c,2017-12-31,2017-12-27,4 days
inFGj1IyIwk,2017-12-31,2017-12-28,3 days
moc_dHHp4LQ,2017-12-31,2017-12-27,4 days
IYyjBXDyYLo,2017-12-31,2017-12-27,4 days
U1RASlbIIVc,2017-12-31,2017-12-27,4 days
xF99M6Zilac,2017-12-31,2017-12-26,5 days
zuRd_Eneuk8,2017-12-31,2017-12-26,5 days
mto2mNFbrps,2017-12-31,2017-12-26,5 days
OmLxYUOgTNs,2017-12-31,2017-12-27,4 days
B1Kitc6cMXw,2017-12-31,2017-12-27,4 days
5n32F7mS6Kk,2017-12-31,2017-12-27,4 days
F8BdzL8OltM,2017-12-31,2017-12-26,5 days
Hgc2njyY4Rs,2017-12-31,2017-12-27,4 days
9oyKePWRi8Y,2017-12-31,2017-12-26,5 days
2NpetP71B1o,2017-12-31,2017-12-27,4 days
4E0Fhct08QM,2017-12-31,2017-12-27,4 days
lWyRTOABEq4,2017-12-31,2017-12-26,5 days
Q-v4LsbFc5c,2017-12-31,2017-12-26,5 days
sJzWZ1yXpek,2017-12-31,2017-12-26,5 days
_yThFcog0nA,2017-12-31,2017-12-27,4 days
4JGWxG-vE24,2017-12-31,2017-12-26,5 days
doHVMJnuvDA,2017-12-31,2017-08-15,138 days
AAbtGz8dHKc,2017-12-31,2017-12-29,2 days
mnT4MDdEazs,2017-12-31,2017-12-26,5 days
maAa7J3iEM8,2017-12-31,2017-12-26,5 days
bWZ_Z5dgrb0,2017-12-31,2017-12-26,5 days
1WREZPc-kqQ,2017-12-31,2017-12-26,5 days
S4vKQbpOn5k,2017-12-31,2017-12-27,4 days
5Q7mKQmNWSE,2017-12-31,2017-11-21,40 days
RIAVKKzOocc,2017-12-31,2017-12-26,5 days
aE4XqQZLkek,2017-12-31,2017-09-15,107 days
to-e5edw-X8,2017-12-31,2014-12-11,1116 days
07Um1PY_P4o,2017-12-31,2017-12-26,5 days
S0eLwrrTBlc,2017-12-31,2013-05-28,1678 days
S1ke1xQ-rmY,2017-12-31,2017-12-05,26 days
lxSWRdgD4Ho,2017-12-31,2017-12-27,4 days
RsIIT6rXnSM,2017-12-31,2017-12-26,5 days
kce9FMxx-04,2017-12-31,2017-12-25,6 days
u_SA2QkZd24,2017-12-31,2017-12-25,6 days
O3ttybJghsc,2017-12-31,2017-12-26,5 days
IjTBcqpl2kc,2017-12-31,2017-12-25,6 days
aO7yzmc3ykw,2017-12-31,2017-12-26,5 days
VHXPFrOfndg,2017-12-31,2017-12-26,5 days
yJqsPBWbtjk,2017-12-31,2017-12-25,6 days
YsufMtUOXtI,2017-12-31,2017-12-26,5 days
TteS6q20VUY,2017-12-31,2017-12-26,5 days
naOKPDCngMI,2017-12-31,2017-12-26,5 days
rQ7yPtJ5Y7I,2017-12-31,2017-12-26,5 days
phGlo_TNDp0,2017-12-31,2010-09-25,2654 days
oo9JMSiI55M,2017-12-31,2017-12-25,6 days
WIWb8f1WIyQ,2017-12-31,2017-12-25,6 days
UUreMfN5eNA,2017-12-31,2017-10-30,62 days
ryr75N0nki0,2017-12-31,2017-12-24,7 days
SWUrl7FpkAo,2017-12-31,2017-12-24,7 days
t9GNMVfEiG4,2017-12-31,2017-12-23,8 days
JFydHaV0klA,2017-12-31,2017-12-23,8 days
fFSmOE0Uxms,2017-12-31,2017-12-23,8 days
e0hO5fTGwPY,2017-12-31,2011-05-22,2415 days
avnapsraeXM,2017-12-31,2017-12-23,8 days
zeO4C8e4pjw,2017-12-31,2017-12-23,8 days
pMpQABKlC-I,2017-12-31,2017-12-23,8 days
DcCh33lJLMw,2017-12-31,2017-12-23,8 days
JnepCulEQOo,2017-12-31,2017-12-23,8 days
3ToRIUoXmIw,2017-12-31,2017-12-23,8 days
AZTn1UMs408,2017-12-31,2017-12-25,6 days
V_jU_ssWvc4,2017-12-31,2017-12-23,8 days
Ff7wbSwTuEk,2017-12-31,2017-12-23,8 days
tE5C3O71Xqo,2017-12-31,2017-12-23,8 days
kVVtBDaY8i4,2017-12-31,2017-12-23,8 days
q8fuvWLje8M,2017-12-31,2017-12-23,8 days
